Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
26.0,Female,Bachelor's (Type 2),0.0,3,26.78382755,48.0,78.0,91.0,Aggressive,1
39.0,Female,PhD,12.0,3,25.86269433,35.0,68.0,80.0,Moderate,1
48.0,Male,Bachelor's (Type 2),3.0,2,9.920804828,20.0,67.0,13.0,Moderate,0
34.0,Female,Bachelor's (Type 2),5.0,2,6.407750729,36.0,27.0,70.0,Conservative,0
30.0,Male,Bachelor's (Type 1),6.0,1,43.10534312,23.0,52.0,85.0,Moderate,0
27.0,Male,Master's,14.0,4,31.70665881,54.0,50.0,50.0,Aggressive,1
48.0,Male,Bachelor's (Type 2),6.0,1,17.2912292,24.0,52.0,64.0,Conservative,0
40.0,Male,PhD,13.0,3,10.58681087,6.0,3.0,92.0,Conservative,0
26.0,Female,Master's,6.0,5,28.77486401,80.0,78.0,51.0,Aggressive,1
45.0,Female,Bachelor's (Type 2),2.0,5,30.19596446,92.0,16.0,94.0,Conservative,0
38.0,Female,Bachelor's (Type 1),15.0,2,11.34968006,93.0,66.0,29.0,Moderate,0
42.0,Male,Master's,5.0,5,43.57028739,70.0,73.0,56.0,Moderate,0
30.0,Male,Master's,12.0,5,5.213218308,96.0,46.0,78.0,Conservative,1
30.0,Male,Bachelor's (Type 1),7.0,5,18.80465426,70.0,55.0,81.0,Moderate,0
43.0,Female,Bachelor's (Type 2),3.0,3,35.01922069,23.0,22.0,98.0,Aggressive,0
40.0,Male,Master's,12.0,5,14.70601819,10.0,17.0,29.0,Moderate,0
23.0,Female,Bachelor's (Type 1),7.0,5,42.38375974,72.0,0.0,97.0,Moderate,0
27.0,Female,PhD,1.0,5,37.99339133,11.0,34.0,41.0,Aggressive,0
43.0,Female,Bachelor's (Type 2),14.0,1,40.45114223,34.0,63.0,10.0,Moderate,0
22.0,Female,Bachelor's (Type 1),9.0,3,6.955326794,62.0,57.0,26.0,Moderate,0
41.0,Female,Master's,8.0,2,8.0273564,67.0,94.0,23.0,Moderate,0
40.0,Female,Bachelor's (Type 2),8.0,1,15.32368689,99.0,58.0,98.0,Moderate,1
21.0,Male,Bachelor's (Type 2),7.0,4,26.90385826,91.0,0.0,38.0,Conservative,0
43.0,Male,Bachelor's (Type 1),9.0,3,38.40080383,56.0,2.0,71.0,Moderate,0
31.0,Female,Bachelor's (Type 1),13.0,3,42.82654454,12.0,66.0,17.0,Moderate,0
49.0,Female,Bachelor's (Type 2),12.0,4,36.2167658,22.0,36.0,76.0,Aggressive,1
25.0,Male,Bachelor's (Type 2),9.0,4,47.42984408,82.0,82.0,44.0,Moderate,0
21.0,Female,Bachelor's (Type 2),0.0,4,37.93717548,100.0,28.0,87.0,Conservative,0
,Female,Master's,1.0,2,16.31339435,38.0,88.0,86.0,Moderate,0
40.0,Male,Bachelor's (Type 2),5.0,5,14.25406422,87.0,32.0,11.0,Moderate,0
20.0,Female,Bachelor's (Type 1),9.0,3,35.80962252,79.0,99.0,48.0,Moderate,0
31.0,Female,Bachelor's (Type 2),4.0,5,10.64352843,96.0,60.0,93.0,Moderate,0
45.0,Female,PhD,11.0,5,5.635740541,11.0,92.0,30.0,Aggressive,1
41.0,Male,,13.0,4,27.61114374,33.0,89.0,91.0,Conservative,1
48.0,Male,Bachelor's (Type 2),8.0,2,42.08207849,70.0,3.0,21.0,Aggressive,0
31.0,Male,Bachelor's (Type 2),4.0,1,6.068992123,74.0,13.0,43.0,Moderate,0
44.0,Female,Bachelor's (Type 2),1.0,2,40.59456619,30.0,90.0,91.0,Moderate,0
36.0,Female,Master's,9.0,5,41.57860022,92.0,32.0,63.0,Moderate,1
46.0,Male,Master's,3.0,2,25.1137,61.0,21.0,76.0,Aggressive,1
46.0,Female,Bachelor's (Type 2),8.0,4,3.865515501,12.0,47.0,24.0,Moderate,0
50.0,Female,Master's,0.0,1,9.729492562,30.0,2.0,50.0,Aggressive,0
29.0,Female,Master's,10.0,4,36.37131376,1.0,86.0,6.0,Aggressive,1
47.0,Female,Bachelor's (Type 1),0.0,1,36.58889725,14.0,84.0,5.0,Moderate,0
